timestamp,predicted_activity,fall_detected,risk_level
2026-01-01 10:00:00.000,STANDING,False,Low
2026-01-01 10:00:00.100,STANDING,False,Low
2026-01-01 10:00:00.200,STANDING,False,Low
2026-01-01 10:00:00.300,STANDING,False,Low
2026-01-01 10:00:00.400,STANDING,False,Low
2026-01-01 10:00:00.500,STANDING,False,Low
2026-01-01 10:00:00.600,STANDING,False,Low
2026-01-01 10:00:00.700,STANDING,False,Low
2026-01-01 10:00:00.800,STANDING,False,Low
2026-01-01 10:00:00.900,STANDING,False,Low
2026-01-01 10:00:01.000,STANDING,False,Low
2026-01-01 10:00:01.100,STANDING,False,Low
2026-01-01 10:00:01.200,STANDING,False,Low
2026-01-01 10:00:01.300,STANDING,False,Low
2026-01-01 10:00:01.400,STANDING,False,Low
2026-01-01 10:00:01.500,STANDING,False,Low
2026-01-01 10:00:01.600,STANDING,False,Low
2026-01-01 10:00:01.700,STANDING,False,Low
2026-01-01 10:00:01.800,STANDING,False,Low
2026-01-01 10:00:01.900,STANDING,False,Low
2026-01-01 10:00:02.000,STANDING,False,Low
2026-01-01 10:00:02.100,STANDING,False,Low
2026-01-01 10:00:02.200,STANDING,False,Low
2026-01-01 10:00:02.300,STANDING,False,Low
2026-01-01 10:00:02.400,STANDING,False,Low
2026-01-01 10:00:02.500,STANDING,False,Low
2026-01-01 10:00:02.600,STANDING,False,Low
2026-01-01 10:00:02.700,STANDING,False,Low
2026-01-01 10:00:02.800,STANDING,False,Low
2026-01-01 10:00:02.900,STANDING,False,Low
2026-01-01 10:00:03.000,STANDING,False,Low
2026-01-01 10:00:03.100,STANDING,False,Low
2026-01-01 10:00:03.200,STANDING,False,Low
2026-01-01 10:00:03.300,SITTING,False,Low
2026-01-01 10:00:03.400,SITTING,False,Low
2026-01-01 10:00:03.500,STANDING,False,Low
2026-01-01 10:00:03.600,STANDING,False,Low
2026-01-01 10:00:03.700,SITTING,False,Low
2026-01-01 10:00:03.800,SITTING,False,Low
